TYPE_NAME=Lib_Book;KEYS=name;;
name;description; Author
"Атлант расправил плечи";"Роман-антиутопия американской писательницы Айн Рэнд, впервые опубликованный в 1957 году.";"name=""Айн Ренд"""
"Государь";"Трактат флорентийского мыслителя и государственного деятеля Никколо Макиавелли, в котором описываются методология захвата власти.";"name=""Никколо Макиавелли"""
"Стив Джобс";"Биография сооснователя корпорации Apple Inc Стива Джобса, написанная американским журналистом и биографом Уолтером Айзексоном.";"name=""Уолтер Айзексон"""
"Унесенные ветром";"Незабываемый любовный роман времен американской Гражданской войны.";"name=""Маргарет Митчелл"""
"финансист";"Роман американского писателя Теодора Драйзера, опубликованный в 1912 году, первый из цикла «Трилогия желания».";"name=""Теодор Драйзер"""

"Гроб из Гонконга"; "Частный детектив Нельсон Райян получает задание от некоего Джона Хардвика проследить за его женой, пока он будет в отъезде.";"name=""Джеймс Хедли Чейз"""

"Часть речи";"Цикл стихотворений Иосифа Бродского, созданного в 1975—1976 гг.";"name=""Иосиф Александрович Бродский"""
"Ночной полет: стихотворения"; "Сборник стихотворений Иосифа Бродского";"name=""Иосиф Александрович Бродский"""

"Война и мир"; "Роман-эпопея Льва Николаевича Толстого, описывающий русское общество в эпоху войн против Наполеона в 1805—1812 годах.";"name=""Лев Николаевич Толстой"""
"Анна Каренина"; "Роман Льва Толстого о трагической любви замужней Анны Карениной и офицера Вронского на фоне семейной жизни Константина Лёвина и Кити Щербацкой";"name=""Лев Николаевич Толстой"""
"Смерть Ивана Ильича"; "Повесть, в которой рассказывается о мучительном умирании судейского чиновника средней руки.";"name=""Лев Николаевич Толстой"""
"Кавказский пленник"; "Рассказ Льва Толстого, повествующий о русском офицере в плену у горцев.";"name=""Лев Николаевич Толстой"""
"Севастопольские рассказы"; "Цикл из трех рассказов, описываюших оборону Севастополя. Толстой пишет как о героизме защитников города, так и о бесчеловечной войны.";"name=""Лев Николаевич Толстой"""
"Холстомер"; "Повесть Льва Толстого, представляющая собой рассказ мерина Холстомера о своей жизни.";"name=""Лев Николаевич Толстой"""

"Преступление и наказание"; "Социально-психологический и социально-философский роман Фёдора Михайловича Достоевского, над которым писатель работал в 1865—1866 годах.";"name=""Федор Михайлович Достоевский"""
"Идиот"; "Роман Фёдора Михайловича Достоевского, наиболее полно выразившим и нравственно-философскую позицию Достоевского, и его художественные принципы в 1860-х годах.";"name=""Федор Михайлович Достоевский"""
"Братья Карамазовы"; "Последний роман Ф. М. Достоевского, который автор писал два года. Роман был напечатан частями в журнале «Русский вестник».";"name=""Федор Михайлович Достоевский"""
"Игрок"; "Роман роман Фёдора Михайловича Достоевского, темой романа является всепоглощающая страсть к азартной игре.";"name=""Федор Михайлович Достоевский"""
"Записки из Мертвого дома"; "Повесть Фёдора Достоевского, состоящее из одноимённой повести в двух частях, а также нескольких рассказов. Создано под впечатлением от заключения в Омском остроге.";"name=""Федор Михайлович Достоевский"""
"Белые ночи"; "Тема повести - стремление к красоте, гармонии, счастью и невозможность, призрачность этого счастья.";"name=""Федор Михайлович Достоевский"""

"Дубровский"; "Разбойничий роман на русском языке. Повествует о любви Владимира Дубровского и Марии Троекуровой — потомков двух враждующих помещичьих семейств";"name=""Александр Сергеевич Пушкин"""
"Евгений Онегин"; "Роман в стихах русского поэта Александра Сергеевича Пушкина, одно из самых значительных произведений русской словесности.";"name=""Александр Сергеевич Пушкин"""
"Полтава"; "Поэма А. С. Пушкина, написанная в 1828 году. Название поэмы указывает на Полтавскую битву, состоявшуюся 27 июня 1709 года.";"name=""Александр Сергеевич Пушкин"""
"Сказка о царе Салтане"; "Сказка в стихах Александра Пушкина, написанная в 1831 году и впервые изданная в следующем году в собрании стихотворений.";"name=""Александр Сергеевич Пушкин"""
"Капитанская дочка"; "Исторический роман Александра Пушкина, действие которого происходит во время восстания Емельяна Пугачёва.";"name=""Александр Сергеевич Пушкин"""
"Выстрел"; "Повесть А.С.Пушкина. Это история об отставном гусаре Сильвио, и его шестилетнем ожидании мести";"name=""Александр Сергеевич Пушкин"""
"А.С. Пушкин. Стихотворения"; "Сборник стихотворений А.С.Пушкина.";"name=""Александр Сергеевич Пушкин"""
"Сказка о мертвой царевне и о семи богатырях"; "Сказка А. С. Пушкина. Является самостоятельным авторским литературным произведением, написанным по мотивам русской народной сказки.";"name=""Александр Сергеевич Пушкин"""

"Основание"; "Первая книга фантастической трилогии «Основание» Айзека Азимова, впоследствии трилогия была расширена двумя приквелами и двумя сиквелами.";"name=""Айзек Азимов"""
"Конец Вечности"; "Роман американского писателя-фантаста Айзека Азимова. Роман описывает деятельность организации под названием Вечность, существующей вне времени.";"name=""Айзек Азимов"""
"Я, робот"; "Сборник научно-фантастических рассказов, опубликованный в 1950 году и оказавший большое влияние на современную научно-фантастическую литературу";"name=""Айзек Азимов"""
"Стальные пещеры"; "Детективно-фантастический роман Айзека Азимова, посвящённый приключениям землянина Элайджа Бейли и робота космонитов Дэниела Оливо.";"name=""Айзек Азимов"""
"Приход ночи"; "Рассказ Айзека Азимова, вышедший в 1941 году. Считается одним из лучших когда-либо опубликованных научно-фантастических рассказов.";"name=""Айзек Азимов"""

"Политика"; "Трактат о государстве, содержащий начала социальной и политической философии. Трактат написан в последние годы жизни Аристотеля в Афинах, попавших под влияние Македонии.";"name=""Аристотель"""
"Метафизика"; "Известнейший сборник сочинений Аристотеля и первая основополагающая работа одноимённого раздела философии.";"name=""Аристотель"""
"Поэтика"; "Трактат Аристотеля, посвящённый теории драмы. Согласно античным каталогам, состоял из двух частей, из которых до нас дошла лишь первая.";"name=""Аристотель"""
"Риторика"; "Трактат, который рассматривает роль речи как важного инструмента общественного взаимодействия и государственного устроения.";"name=""Аристотель"""
"О душе"; "Сочинение Аристотеля, посвященное теме души. В отличие от своего учителя Платона, Аристотель настаивает, что многие состояния души зависят от состояния тела.";"name=""Аристотель"""