TYPE_NAME=Lib_Book_Qualifier;KEYS=Book,Qualifier;;
Book;Qualifier
"name=""Стив Джобс""";"title=""Биография"""
"name=""Гроб из Гонконга""";"title=""Детектив"""
"name=""Сказка о мертвой царевне и о семи богатырях""";"title=""Сказка"""
"name=""Полтава""";"title=""Поэма"""

"name=""Кавказский пленник""";"title=""Рассказ"""
"name=""Севастопольские рассказы""";"title=""Рассказ"""

"name=""Государь""";"title=""Исторический"""
"name=""Политика""";"title=""Исторический"""
"name=""Метафизика""";"title=""Исторический"""
"name=""Риторика""";"title=""Исторический"""
"name=""О душе""";"name=""Исторический"""
"name=""Поэтика""";"title=""Исторический"""

"name=""Часть речи""";"title=""Поэзия"""
"name=""Ночной полет: стихотворения""";"title=""Поэзия"""
"name=""Евгений Онегин""";"title=""Поэзия"""
"name=""Сказка о царе Салтане""";"title=""Поэзия"""
"name=""А.С. Пушкин. Стихотворения""";"title=""Поэзия"""

"name=""Записки из Мертвого дома""";"title=""Повесть"""
"name=""Смерть Ивана Ильича""";"title=""Повесть"""
"name=""Холстомер""";"title=""Повесть"""
"name=""Выстрел""";"title=""Повесть"""
"name=""Белые ночи""";"title=""Повесть"""

"name=""Капитанская дочка""";"title=""Роман"""
"name=""Дубровский""";"title=""Роман"""
"name=""Атлант расправил плечи""";"title=""Роман"""
"name=""Унесенные ветром""";"title=""Роман"""
"name=""Война и мир""";"title=""Роман"""
"name=""Анна Каренина""";"title=""Роман"""
"name=""Преступление и наказание""";"title=""Роман"""
"name=""Идиот""";"title=""Роман"""
"name=""Братья Карамазовы""";"title=""Роман"""
"name=""Игрок""";"title=""Роман"""

"name=""Основание""";"title=""Фантастика"""
"name=""Конец Вечности""";"title=""Фантастика"""
"name=""Я, робот""";"title=""Фантастика"""
"name=""Стальные пещеры""";"title=""Фантастика"""
"name=""Приход ночи""";"title=""Фантастика"""